,Unnamed: 0,rank_order,rank,name,scores_overall,scores_overall_rank,scores_resources,scores_resources_rank,scores_engagement,scores_engagement_rank,scores_outcomes,scores_outcomes_rank,scores_environment,scores_environment_rank,nid,location,stats_fees_oos,stats_board,stats_salary,Chemical Engineering,Architecture,Psychology,General Engineering,Sociology,Electrical & Electronic Engineering,"Geology, Environmental, Earth & Marine Sciences",Computer Science,Chemistry,Accounting & Finance,"Art, Performing Arts & Design",Biological Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Agriculture & Forestry,Law,"Languages, Literature & Linguistics",Communication & Media Studies,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Geography,"History, Philosophy & Theology",Mathematics & Statistics,Business & Management,Other Health,Archaeology,Education,Veterinary Science,Sport Science,latitude,longitude
528,528,529,501-600,High Point University,43.3-46.6,529,-,424,16.2,257,-,535,-,715,593798,North Carolina,"$34,005","$13,350","$38,100",0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,35.972085899999996,-79.9936582
529,529,530,501-600,Hood College,43.3-46.6,530,14.1,358,-,778,-,654,5.7,286,592817,Maryland,"$37,960","$12,580","$43,467",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,39.422961799999996,-77.41891707
530,530,531,501-600,University of Houston-Downtown,43.3-46.6,531,-,798,-,595,-,432,8.5,23,594641,Texas,"$15,782",,"$43,433",0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,29.7661239,-95.35963163
531,531,532,501-600,Humboldt State University,43.3-46.6,532,-,678,-,551,-,528,6.5,188,131382,California,"$19,373","$13,016","$35,167",0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,40.87558755,-124.07799979999999
532,532,533,501-600,Idaho State University,43.3-46.6,533,-,407,16.7,144,-,729,-,534,592316,Idaho,"$21,942","$7,024","$35,067",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,42.859944,-112.40783090000001
533,533,534,501-600,University of the Incarnate Word,43.3-46.6,534,-,522,16.4,209,-,720,7.7,64,594650,Texas,"$29,990","$12,436","$44,733",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,29.468846600000003,-98.46910391
534,534,535,501-600,University of Indianapolis,43.3-46.6,535,-,408,17.0,83,-,721,-,481,592508,Indiana,"$28,390","$9,988","$40,767",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,39.70939645,-86.13445225
535,535,536,501-600,Kean University,43.3-46.6,536,-,672,-,627,-,515,7.8,61,593405,New Jersey,"$19,009","$13,513","$45,867",0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,40.6786462,-74.2342993
536,536,537,501-600,LIU Post,43.3-46.6,537,-,542,-,648,-,464,5.4,324,593588,New York,"$36,978","$13,720","$46,667",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,40.817234899999995,-73.5900738
537,537,538,501-600,La Sierra University,43.3-46.6,538,-,487,-,730,-,752,9.1,3,591962,California,"$32,130","$8,250","$45,167",0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,33.9101505,-117.49574650000001
538,538,539,501-600,University of La Verne,43.3-46.6,539,-,650,-,753,-,551,7.6,75,591959,California,"$41,450","$13,180","$49,433",0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,34.0998636,-117.77263190000001
539,539,540,501-600,Lesley University,43.3-46.6,540,14.6,335,-,673,-,748,5.4,326,592922,Massachusetts,"$26,675","$15,750","$36,567",0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,42.387085,-71.11840422
540,540,541,501-600,Lipscomb University,43.3-46.6,541,14.0,367,16.5,188,-,572,-,717,594521,Tennessee,"$30,932","$12,052","$40,333",0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,36.10507165,-86.79864092
541,541,542,501-600,Loras College,43.3-46.6,542,-,464,15.8,384,-,489,-,800,592592,Iowa,"$32,886","$7,840","$43,000",0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,42.50416920000001,-90.6815163
542,542,543,501-600,Manchester University,43.3-46.6,543,13.7,380,-,481,-,687,-,538,592529,Indiana,"$31,660","$10,100","$39,033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.01177555,-85.76000954
543,543,544,501-600,Manhattanville College,43.3-46.6,544,-,430,-,744,-,621,6.6,174,593594,New York,"$37,910","$14,520","$46,333",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,41.0313935,-73.7155858
544,544,545,501-600,University of Mary Washington,43.3-46.6,545,-,651,-,650,18.8,307,-,492,594818,Virginia,"$27,434","$10,911","$50,133",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,38.30079105,-77.47342646
545,545,546,501-600,University of Massachusetts Dartmouth,43.3-46.6,546,-,426,-,780,-,651,6.2,224,592979,Massachusetts,"$28,285","$12,936","$46,900",1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,41.629589700000004,-71.0061861
546,546,547,501-600,University of Massachusetts Lowell,43.3-46.6,547,-,507,-,600,-,585,6.2,225,592925,Massachusetts,"$31,865","$12,496","$51,433",1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,42.6519097,-71.31736284
547,547,548,501-600,University of Memphis,43.3-46.6,548,14.1,359,-,482,-,731,7.0,123,594551,Tennessee,"$21,029","$9,366","$36,500",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,35.1189387,-89.9372196
548,548,549,501-600,Mercyhurst University,43.3-46.6,549,13.9,374,16.4,214,-,605,-,633,594260,Pennsylvania,"$36,320","$12,210","$39,833",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,42.1041456,-80.05388512
549,549,550,501-600,University of Michigan-Flint,43.3-46.6,550,-,420,16.3,236,-,734,5.8,271,593081,Michigan,"$21,165","$8,386","$40,300",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,43.0190005,-83.68894301
550,550,551,501-600,Morningside College,43.3-46.6,551,-,609,-,423,-,411,-,740,592598,Iowa,"$30,390","$9,390","$42,033",0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,42.4744179,-96.36011665
551,551,552,501-600,College of Mount Saint Vincent,43.3-46.6,552,-,601,-,784,-,413,7.0,125,593615,New York,"$33,458","$9,500","$51,700",0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,40.9128739,-73.90681784
552,552,553,501-600,University of Mount Union,43.3-46.6,553,-,440,16.8,122,-,510,-,759,593948,Ohio,"$29,890","$10,100","$42,333",0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,40.90423870000001,-81.11068655
553,553,554,501-600,Mount Vernon Nazarene University,43.3-46.6,554,14.6,336,16.5,191,-,705,-,648,593951,Ohio,"$18,946","$7,854","$41,567",0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,40.3756092,-82.46942549
554,554,555,501-600,University of Nebraska Omaha,43.3-46.6,555,-,621,16.4,215,-,610,5.6,302,593330,Nebraska,"$20,320","$9,406","$42,733",0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,41.25779325,-96.0104763
555,555,556,501-600,University of New Hampshire,43.3-46.6,556,-,556,16.4,216,-,465,-,686,593357,New Hampshire,"$32,637","$11,266","$48,900",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,43.1369862,-70.93188194
556,556,557,501-600,University of New Haven,43.3-46.6,557,-,539,-,522,-,591,6.0,247,592112,Connecticut,"$38,170","$15,610","$49,933",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,41.2910574,-72.96211309
557,557,558,501-600,New Mexico State University (Main campus),43.3-46.6,558,-,489,16.7,147,-,693,7.6,78,131775,New Mexico,"$21,022","$8,686","$33,600",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,32.27673635,-106.7477521
